"Created","accx","accy","accz","gyrox","gyroy","gyroz","magnetx","magnety","magnetz","lon","lat","error","speed","altitude","mode","pressure"
"2019-07-28 09:00:03.645","-0.17151666","2.5754006","9.63357","-0.027783401","-8.4488635E-4","0.024461115","53.124195","54.269012","5.081665","-81.1972067","28.5981622","3.0","0.031999998","-5.1756591796875","on_foot",
"2019-07-28 09:00:04.146","-0.24817199","2.7311065","9.205258","0.029501142","0.00658","-0.011464899","53.505478","54.260147","5.015106","-81.1972061","28.5981594","3.0","0.031999998","-5.221466064453125","on_foot",
"2019-07-28 09:00:04.646","-0.5260475","2.2041013","9.559789","-0.049514774","0.0052377665","0.03098585","54.018536","54.023926","5.0828705","-81.1972061","28.5981594","3.0","0.031999998","-5.221466064453125","on_foot",
"2019-07-28 09:00:05.147","-0.39908713","2.5897734","9.371025","-0.012337083","0.0061911778","0.06667218","53.3737","54.48755","4.880722","-81.1972071","28.5981573","3.0","0.031999998","-4.858154296875","on_foot",
"2019-07-28 09:00:05.648","-0.35117757","2.838903","9.207174","0.066332616","0.006803705","0.058176704","52.3621","54.286957","5.342865","-81.1972071","28.5981573","3.0","0.031999998","-4.858154296875","on_foot",
"2019-07-28 09:00:06.147","-0.3487821","2.8149483","9.586618","-0.030340035","4.440816E-4","0.022144161","52.49825","53.835007","5.548355","-81.1972087","28.5981557","3.0","0.0","-4.4234619140625","on_foot",
"2019-07-28 09:00:06.647","-0.37273687","2.793389","9.244064","0.016824502","0.006446841","0.005472792","51.92932","53.679733","5.621521","-81.1972087","28.5981557","3.0","0.0","-4.4234619140625","on_foot",
"2019-07-28 09:00:07.148","-0.5380249","2.7957845","9.427558","-0.020832557","0.011070085","-0.007789739","52.564487","53.778168","5.9979553","-81.1972106","28.5981544","3.0","0.0","-4.426666259765625","on_foot",
"2019-07-28 09:00:07.649","-0.5164656","2.949095","9.318804","0.02124535","0.010484191","0.02288985","52.43513","53.950043","6.2496033","-81.1972106","28.5981544","3.0","0.0","-4.426666259765625","on_foot",
"2019-07-28 09:00:08.148","-0.2912906","3.909682","8.953733","0.116399996","0.017163392","0.047470804","52.51634","53.107025","6.852188","-81.1972121","28.5981533","3.0","0.0","-4.379425048828125","on_foot",
"2019-07-28 09:00:08.649","-0.28649965","3.2652984","9.165014","0.13767865","0.018510945","0.004407531","51.883484","53.123062","7.6888733","-81.1972121","28.5981533","3.0","0.0","-4.379425048828125","on_foot",
"2019-07-28 09:00:09.148","-0.34159565","2.9922137","9.056259","-0.041978043","-0.03823032","-0.020386478","52.89946","52.985718","6.7251587","-81.1972128","28.5981529","3.0","0.0","-4.767303466796875","on_foot",
"2019-07-28 09:00:09.648","-0.7727818","2.9658635","9.065362","0.03354914","-0.004269709","0.08824375","53.596363","53.081802","6.5888977","-81.1972128","28.5981529","3.0","0.0","-4.767303466796875","on_foot",
"2019-07-28 09:00:10.149","-1.2902052","4.185162","8.933611","0.114242844","0.1012979","0.5536307","51.451176","52.629395","8.668381","-81.1972135","28.598152","3.0","0.0","-5.18365478515625","on_foot",
"2019-07-28 09:00:10.649","-0.3008725","4.4678288","8.947505","0.028222822","0.09928987","-0.40555912","-69.57385","-46.20334","-2.7872467","-81.1972135","28.598152","3.0","0.0","-5.18365478515625","on_foot",
"2019-07-28 09:00:11.149","0.5830591","5.2104273","8.032432","0.21413794","-0.2139988","-0.14512885","-65.17243","-50.488586","1.6947479","-81.1972135","28.5981524","3.0","0.0","-5.126190185546875","on_foot",
"2019-07-28 09:00:11.650","2.0131598","5.8356466","7.6702356","-0.15135397","-0.44843134","0.032796804","-57.249485","-51.31894","9.740707","-81.1972135","28.5981524","3.0","0.0","-5.126190185546875","on_foot",
"2019-07-28 09:00:12.150","8.718103","-10.762625","3.3142967","-1.6108446","-0.6829864","1.5657377","-65.346176","-42.823425","6.2079773","-81.197217","28.5981567","3.0","0.0","-5.278533935546875","on_foot",
"2019-07-28 09:00:12.651","6.035168","-8.31684","2.7939987","-1.6077554","-0.5669579","1.1424288","-65.41936","5.17482","-9.253891","-81.197217","28.5981567","3.0","0.0","-5.278533935546875","on_foot",
"2019-07-28 09:00:13.152","5.074581","-9.138491","1.5392473","0.67800695","0.14053151","0.15572825","-49.360443","20.919006","-14.642654","-81.1972173","28.5981594","3.0","0.28599998","-5.45782470703125","on_foot",
